x,y
-10.0,-17.006571693977534
-9.831932773109244,-17.85636053511548
-9.663865546218487,-15.864286789344833
-9.495798319327731,-13.693436085503278
-9.327731092436975,-16.78763448053911
-9.159663865546218,-16.367433577763908
-8.991596638655462,-12.320565965623874
-8.823529411764707,-13.523954071105951
-8.655462184873949,-15.577604234054776
-8.487394957983193,-13.133367307786052
-8.319327731092436,-14.725154713356014
-8.15126050420168,-14.309610767644713
-7.983193277310924,-12.474058650145242
-7.815126050420168,-16.364375615366015
-7.647058823529411,-15.567482723849594
-7.4789915966386555,-12.822054050078584
-7.310924369747899,-13.302973165038594
-7.142857142857142,-10.228648191952306
-6.974789915966387,-12.253022940958386
-6.80672268907563,-12.841414125359659
-6.6386554621848735,-6.665341117619075
-6.470588235294118,-9.628023189208365
-6.302521008403361,-8.621246111632555
-6.134453781512605,-11.185630826208424
-5.966386554621849,-9.004731835604987
-5.798319327731092,-7.273953139907999
-5.630252100840336,-9.377617406945445
-5.462184873949579,-5.904066148182603
-5.294117647058823,-7.4365714974846675
-5.126050420168067,-6.3985135500067205
-4.95798319327731,-6.59837120765207
-4.7899159663865545,-1.270233546948511
-4.621848739495798,-4.581616298215362
-4.453781512605041,-6.2498756394244035
-4.285714285714286,-2.0691958900793352
-4.117647058823529,-5.735804947000867
-3.9495798319327724,-2.4562223898224205
-3.7815126050420167,-6.373121760364594
-3.61344537815126,-4.689985543175013
-3.4453781512605035,-1.2197229064130113
-3.277310924369747,0.2836558490664536
-3.109243697478991,-0.43037268131753703
-2.9411764705882346,-0.5842377412470681
-2.773109243697478,-0.5349805004222726
-2.6050420168067223,-2.4696490227516605
-2.4369747899159657,-0.5321253915793311
-2.268907563025209,0.4064535505174022
-2.1008403361344534,3.862143612101698
-1.9327731092436977,2.8553038060276785
-1.7647058823529402,-0.9378450166078185
-1.5966386554621845,3.6565713001341287
-1.428571428571427,2.6584068677387993
-1.2605042016806713,2.4948954951864044
-1.0924369747899156,5.4922601407069465
-0.9243697478991582,6.7510746752440065
-0.7563025210084025,6.971803935711391
-0.5882352941176467,3.850976718260606
-0.42016806722688926,5.331155080230348
-0.25210084033613356,7.032274761966794
-0.08403361344537785,8.741006220631274
0.08403361344537963,6.251735557922869
0.25210084033613533,7.258934147512704
0.42016806722689104,5.83775022005517
0.5882352941176485,6.07817498713278
0.7563025210084042,10.515807947309407
0.9243697478991599,12.023404426889545
1.0924369747899174,9.587072193814127
1.2605042016806731,12.158326299985731
1.4285714285714288,11.294700621523841
1.5966386554621863,9.701357129445217
1.764705882352942,12.134555916899183
1.9327731092436977,14.908005906041183
2.100840336134455,12.180448762116233
2.268907563025211,15.801556219191038
2.4369747899159666,7.852946766610427
2.605042016806724,15.156410050767258
2.77310924369748,14.106867245720043
2.9411764705882355,13.754926475538854
3.109243697478993,14.956630796768488
3.2773109243697487,11.218139481722588
3.445378151260506,15.174101602476242
3.613445378151262,16.74783858840165
3.7815126050420176,19.409569602088077
3.949579831932775,15.837409143284642
4.117647058823531,15.677130441272451
4.2857142857142865,16.710771627116642
4.453781512605044,19.96525801691676
4.6218487394958,19.21212406805887
4.789915966386555,17.915269508432313
4.957983193277313,20.421492849419995
5.1260504201680686,20.00928114911625
5.294117647058824,22.17258409871284
5.462184873949582,19.251355997119248
5.6302521008403374,20.420305958905306
5.798319327731093,20.711582013063417
5.966386554621851,18.98893649029039
6.134453781512605,22.928375007910663
6.302521008403364,23.278413065368188
6.4705882352941195,23.186697501520218
6.638655462184875,23.127464388711893
6.806722689075631,21.18606523858825
6.974789915966387,23.595684144385245
7.142857142857146,24.171713824089327
7.310924369747902,23.672756385926515
7.478991596638657,25.374907568264625
7.647058823529413,26.92574877245261
7.815126050420169,30.31018692847148
7.983193277310924,27.307138818940988
8.151260504201684,27.89325204194974
8.31932773109244,27.649427496198765
8.487394957983195,24.380944964359905
8.65546218487395,28.585627711286445
8.823529411764707,29.179283949293822
8.991596638655462,34.40547582160923
9.159663865546221,29.514437734303307
9.327731092436977,30.92242241575967
9.495798319327733,30.670072258908846
9.663865546218489,28.822307790307157
9.831932773109244,33.865477561803154
10.0,33.50386606537355
